epoch,class,threshold_id,threshold_value,auc,sens,spec,ppv,npv,alert_rate,ece,tp,fp,tn,fn
1,Cardiomegaly,28,0.384256410983301,0.562,0.018518518518518434,0.9830937167199146,0.030534351145037938,0.9720942477293667,0.01695134575569358,0.3418828547000885,4,127,7385,212
1,Cardiomegaly,29,0.38498806184337986,0.562,0.013888888888888826,0.9876198083067091,0.031249999999999677,0.9720911949685533,0.012422360248447204,0.3418828547000885,3,93,7419,213
1,Cardiomegaly,30,0.38571971270345873,0.562,0.013888888888888826,0.9925452609158678,0.05084745762711778,0.9722258443082539,0.007634575569358178,0.3418828547000885,3,56,7456,213
1,Cardiomegaly,31,0.3864513635635376,0.562,0.009259259259259217,0.996405750798722,0.06896551724137694,0.9722041823613455,0.0037525879917184265,0.3418828547000885,2,27,7485,214
1,Consolidation,0,0.37758001685142517,0.749,0.9233128834355799,0.473385571467171,0.0716837342224339,0.9929158401813543,0.5433488612836439,0.3378389448035454,301,3898,3504,25
1,Consolidation,1,0.3784564964232906,0.749,0.8773006134969298,0.5041880572818157,0.07229524772497471,0.9893955461293741,0.5119047619047619,0.3378389448035454,286,3670,3732,40
1,Consolidation,2,0.3793329759951561,0.749,0.8680981595091998,0.5335044582545257,0.0757494646680942,0.9892284569138274,0.4834368530020704,0.3378389448035454,283,3453,3949,43
1,Consolidation,3,0.3802094555670215,0.749,0.846625766871163,0.5643069440691705,0.07883461868037701,0.9881712798675181,0.453027950310559,0.3378389448035454,276,3225,4177,50
1,Consolidation,4,0.381085935138887,0.749,0.8404907975460096,0.589840583626047,0.08277945619335345,0.9882299683114529,0.4283126293995859,0.3378389448035454,274,3036,4366,52
1,Consolidation,5,0.38196241471075243,0.749,0.8006134969325128,0.6179410970008106,0.08449336354807378,0.9859883595602499,0.39971532091097306,0.3378389448035454,261,2828,4574,65
1,Consolidation,6,0.38283889428261786,0.749,0.7760736196318994,0.64590651175358,0.0880306193458594,0.9849608570251337,0.3718944099378882,0.3378389448035454,253,2621,4781,73
1,Consolidation,7,0.38371537385448334,0.749,0.7300613496932492,0.6704944609564981,0.08890549122151659,0.9825777073846761,0.34640269151138714,0.3378389448035454,238,2439,4963,88
1,Consolidation,8,0.3845918534263488,0.749,0.6932515337423291,0.6952175087814103,0.09105560032232067,0.9809378574151733,0.32116977225672877,0.3378389448035454,226,2256,5146,100
1,Consolidation,9,0.3854683329982142,0.749,0.6687116564417157,0.7194001621183463,0.0949891067538126,0.9801214798453891,0.296972049689441,0.3378389448035454,218,2077,5325,108
1,Consolidation,10,0.3863448125700797,0.749,0.6319018404907956,0.7435828154552823,0.09790874524714825,0.9786628733997154,0.2722567287784679,0.3378389448035454,206,1898,5504,120
1,Consolidation,11,0.3872212921419451,0.749,0.6042944785276054,0.7681707646582004,0.1029796131730266,0.977815993121238,0.24754140786749482,0.3378389448035454,197,1716,5686,129
1,Consolidation,12,0.3880977717138106,0.749,0.5705521472392621,0.7899216427992434,0.10683515221137271,0.9766160013362284,0.2252846790890269,0.3378389448035454,186,1555,5847,140
1,Consolidation,13,0.38897425128567603,0.749,0.5245398773006118,0.8099162388543636,0.10836501901140679,0.9747967479674795,0.20419254658385094,0.3378389448035454,171,1407,5995,155
1,Consolidation,14,0.38985073085754146,0.749,0.46932515337423164,0.8299108349094838,0.10835694050991494,0.9726092463584546,0.18271221532091098,0.3378389448035454,153,1259,6143,173
1,Consolidation,15,0.39072721042940695,0.749,0.4141104294478515,0.8496352337206159,0.10817307692307684,0.9705246913580245,0.16149068322981366,0.3378389448035454,135,1113,6289,191
1,Consolidation,16,0.3916036900012724,0.749,0.3527607361963179,0.8738178870575519,0.10962821734985691,0.9684084443779007,0.13574016563146998,0.3378389448035454,115,934,6468,211
1,Consolidation,17,0.39248016957313786,0.749,0.3251533742331278,0.891110510672791,0.11622807017543847,0.9677230046948355,0.11801242236024845,0.3378389448035454,106,806,6596,220
1,Consolidation,18,0.3933566491450033,0.749,0.29447852760736104,0.9081329370440421,0.1237113402061854,0.9669159953970079,0.10041407867494824,0.3378389448035454,96,680,6722,230
1,Consolidation,19,0.3942331287168687,0.749,0.23926380368098085,0.9261010537692514,0.1247999999999998,0.9650851752780514,0.08087474120082816,0.3378389448035454,78,547,6855,248
1,Consolidation,20,0.3951096082887342,0.749,0.190184049079754,0.9425830856525262,0.12731006160164243,0.963540947382958,0.0630175983436853,0.3378389448035454,62,425,6977,264
1,Consolidation,21,0.39598608786059963,0.749,0.14110429447852715,0.9536611726560388,0.11825192802056524,0.961847663169369,0.05033643892339545,0.3378389448035454,46,343,7059,280
1,Consolidation,22,0.39686256743246506,0.749,0.11042944785276039,0.9643339637935692,0.1199999999999996,0.9609585352719439,0.03881987577639751,0.3378389448035454,36,264,7138,290
1,Consolidation,23,0.39773904700433055,0.749,0.07055214723926358,0.973520670089165,0.10502283105022783,0.9596484218937275,0.028338509316770188,0.3378389448035454,23,196,7206,303
1,Consolidation,24,0.398615526576196,0.749,0.04601226993865016,0.980951094298838,0.09615384615384553,0.9589276281035393,0.020186335403726708,0.3378389448035454,15,141,7261,311
1,Consolidation,25,0.39949200614806146,0.749,0.030674846625766774,0.9873007295325587,0.09615384615384523,0.9585519412381951,0.013457556935817806,0.3378389448035454,10,94,7308,316
1,Consolidation,26,0.4003684857199269,0.749,0.01226993865030671,0.9917589840583625,0.0615384615384606,0.9579799034320761,0.008410973084886128,0.3378389448035454,4,61,7341,322
